"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-22 06:20:00",1763792400271,"desi-beats.vercel.app/api/menu-items","GET","",200,"cp6hq-1763792399836-c4f5161ee51e","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/menu-items","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",1988,"iad1",105,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3GBWFW1B439TQXX3ZSES8","jTNZfBpKagdD",1
"2025-11-22 06:19:59",1763792399929,"desi-beats.vercel.app/api/categories","GET","",200,"64nx4-1763792399826-dfdb81c88750","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/categories","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",1982,"iad1",105,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3GBHS9N6AFJDEH7BA8SM5","59EvKFULskBk",1
"2025-11-22 06:19:49",1763792389502,"desi-beats.vercel.app/api/auth/status","GET","",200,"lppw2-1763792389400-faa1b70f660b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/auth/status","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",12,"iad1",75,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3G1BYP33TTTRJVNY9KJAE","tHWbomDVHIwt",1
"2025-11-22 06:19:45",1763792385508,"desi-beats.vercel.app/api/auth/status","GET","",200,"hh5s2-1763792385402-f3e1736362e8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/auth/status","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",22,"iad1",75,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3FXF49M5FZQZFBQ1ZXQ39","tHWbomDVHIwt",1
"2025-11-22 06:19:45",1763792385082,"desi-beats.vercel.app/api/auth/login","POST","",200,"8bztp-1763792384973-8432be939d43","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/auth/login","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",15,"iad1",75,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3FX1TX06XMVA4ZMK323WX","u5Q4oLm7REqh",1
"2025-11-22 06:19:29",1763792369729,"desi-beats.vercel.app/api/auth/status","GET","",200,"8bztp-1763792369324-af48dba35505","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/auth/status","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",176,"iad1",75,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3FE21Y5G9NCPSSEE41JBQ","tHWbomDVHIwt",1
"2025-11-22 06:19:28",1763792368056,"desi-beats.vercel.app/api/auth/login","POST","",200,"cb8cs-1763792367618-b694c84836e9","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/auth/login","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",213,"iad1",75,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3FCDS3B05WRGXE9HH1GYZ","u5Q4oLm7REqh",1
"2025-11-22 06:19:20",1763792360528,"desi-beats.vercel.app/api/categories","GET","",200,"hh5s2-1763792360413-117735bb2e72","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/categories","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",2413,"iad1",104,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3F52GTB577KNT79S23X2Q","59EvKFULskBk",1
"2025-11-22 06:19:20",1763792360519,"desi-beats.vercel.app/api/menu-items","GET","",200,"7lgk8-1763792360411-27ae59d10bf0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","info","production","main","","lambda","/api/menu-items","desi-beats.vercel.app","desi-beats.vercel.app","dpl_8EVFagWycj3w2AvX9v6wUwc3Lhvm",2430,"iad1",104,2048,"","prj_SihhMD2IpFIcfnXOqXio9VDa5dZ9","","","01KAN3F527AP7WQQ9596BWG06V","jTNZfBpKagdD",1
